tx,ty,land_frac,elev_min,elev_max,hi,r1000_p90,r1000_max,r2500_p99,r2500_max,r5000_max,w2k_p99,w2k_max,w2k_max_x0,w2k_max_y0,w2k_max_x1,w2k_max_y1,slope_p90,slope_p99,slope_bc,tri_mean,misses
-11,-8,0.00063004,0,21.607,7.42202e-05,0.05,21.607,0.15,21.607,21.607,0.05,21.607,-165870,-107820,-167880,-107820,0.01,0.01,0.864969,0.00492233,0
-11,-7,0.770312,0,562.326,0.103169,188.55,536.452,562.35,562.326,562.326,281.75,543.331,-157440,-98040,-158850,-96630,11.59,37.97,0.736963,6.94547,0
-11,-6,0.864692,0,313.007,0.387579,84.65,207.889,211.55,212.473,227.957,161.95,207.889,-156180,-85260,-156180,-83250,4.15,19.79,0.688329,3.4024,0
-11,-5,1,144.818,1499.39,0.302844,147.65,369.943,545.15,573.099,824.179,331.75,442.497,-166680,-65130,-168090,-63720,7.85,17.79,0.587612,6.15253,0
-11,-4,1,184.106,1822.28,0.616953,515.75,743.571,1129.15,1252.18,1440.3,702.25,977.159,-158970,-50670,-160380,-49260,32.31,42.81,0.528509,23.04,0
-11,-3,0.804606,0,1904.4,0.164608,370.05,847.886,1126.05,1221.25,1715.04,674.65,966.383,-162810,-43650,-164220,-45060,22.19,39.11,0.626295,11.688,0
-11,-2,0.00995057,0,30.997,0.0031927,0.05,30.997,4.25,30.997,30.997,0.05,30.997,-166680,-30480,-168690,-30480,0.01,0.09,0.716025,0.0376234,0
-11,-1,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-168720,-15120,-166710,-15120,0.01,0.01,0,0,0
-11,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-168720,240,-166710,240,0.01,0.01,0,0,0
-10,-16,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-245520,-151350,-245520,0.01,0.01,0,0,0
-10,-15,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-230160,-151350,-230160,0.01,0.01,0,0,0
-10,-14,0.0595327,0,139.526,0.0175071,27.05,139.526,139.55,139.526,139.526,97.75,139.526,-139890,-209820,-141900,-209820,0.01,16.19,0.824853,0.820954,0
-10,-13,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-199440,-151350,-199440,0.01,0.01,0,0,0
-10,-12,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-184080,-151350,-184080,0.01,0.01,0,0,0
-10,-11,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-168720,-151350,-168720,0.01,0.01,0,0,0
-10,-10,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-153360,-151350,-153360,0.01,0.01,0,0,0
-10,-9,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-138000,-151350,-138000,0.01,0.01,0,0,0
-10,-8,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-122640,-151350,-122640,0.01,0.01,0,0,0
-10,-7,0.0017885,0,40.927,0.000506219,0.05,40.927,18.35,40.927,40.927,0.05,40.927,-151020,-94200,-153030,-94200,0.01,0.01,0.881491,0.0354606,0
-10,-6,0.302602,0,505.097,0.0764168,178.35,435.114,500.85,504.56,505.097,336.55,492.897,-145530,-79470,-145530,-77460,9.11,30.09,0.725858,3.71187,0
-10,-5,0.987448,0,759.255,0.466271,330.15,477.582,586.35,642.321,718.491,377.85,536.251,-140250,-65700,-141660,-64290,28.65,36.87,0.603678,18.7213,0
-10,-4,1,4.952,805.62,0.30822,394.45,673.729,729.85,737.887,781.581,537.55,718.728,-144990,-48600,-142980,-48600,32.13,40.53,0.513149,25.9521,0
-10,-3,0.528132,0,453.394,0.0452348,104.65,435.38,449.25,450.432,453.394,315.65,445.343,-141630,-44160,-140220,-42750,7.43,31.13,0.82867,4.2389,0
-10,-2,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-30480,-151350,-30480,0.01,0.01,0,0,0
-10,-1,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,-15120,-151350,-15120,0.01,0.01,0,0,0
-10,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-153360,240,-151350,240,0.01,0.01,0,0,0
-9,-16,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-138000,-245520,-135990,-245520,0.01,0.01,0,0,0
-9,-15,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-138000,-230160,-135990,-230160,0.01,0.01,0,0,0
-9,-14,0.0264495,0,322.143,0.0107687,0.05,312.618,280.85,322.143,322.143,189.95,322.143,-127710,-199950,-129720,-199950,0.01,17.17,0.880673,0.596384,0
-9,-13,0.811671,0,579.593,0.125816,315.55,501.852,552.35,576.776,579.593,378.05,522.758,-128490,-192330,-127080,-193740,25.75,39.51,0.725389,12.8425,0
-9,-12,0.471181,0,621.89,0.154797,207.85,539.074,484.45,581.877,621.89,295.35,556.694,-124560,-171930,-123150,-173340,20.27,34.69,0.70501,9.25299,0
-9,-11,0.0665932,0,206.232,0.0146656,1.45,206.232,206.25,206.232,206.232,112.95,206.232,-123840,-156570,-123840,-158580,0.01,14.71,0.829556,0.712289,0
-9,-10,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-138000,-153360,-135990,-153360,0.01,0.01,0,0,0
-9,-9,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-138000,-138000,-135990,-138000,0.01,0.01,0,0,0
-9,-8,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-138000,-122640,-135990,-122640,0.01,0.01,0,0,0
-9,-7,0.0313313,0,106.729,0.0105446,0.05,103.825,80.85,106.729,106.729,66.25,106.729,-132180,-93840,-130770,-92430,0.01,4.05,0.791947,0.220155,0
-9,-6,0.301464,0,214.131,0.0788353,141.55,214.131,214.15,214.131,214.131,161.75,214.131,-128460,-87060,-130470,-87060,8.51,29.33,0.707011,3.59733,0
-9,-5,0.300493,0,360.392,0.0606879,143.15,281.352,317.45,335.63,360.392,168.55,295.18,-135090,-65010,-136500,-63600,15.77,34.79,0.761595,5.93654,0
-9,-4,0.879483,0,606.487,0.233933,279.25,446.948,587.55,606.487,606.487,370.25,527.552,-131880,-54720,-129870,-54720,21.67,33.49,0.498219,13.8284,0
-9,-3,0.423566,0,631.099,0.0869475,221.95,489.308,577.85,622.102,631.099,383.45,571.126,-136560,-45600,-135150,-44190,16.03,31.57,0.749533,6.07797,0
-9,-2,0.00677598,0,3.513,0.00141652,0.05,3.513,3.55,3.513,3.513,0.15,3.513,-136380,-22230,-134370,-22230,0.01,0.05,0.831093,0.0080815,0
-9,-1,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-138000,-15120,-135990,-15120,0.01,0.01,0,0,0
-9,0,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-138000,240,-135990,240,0.01,0.01,0,0,0
-8,-16,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-122640,-245520,-120630,-245520,0.01,0.01,0,0,0
-8,-15,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-122640,-230160,-120630,-230160,0.01,0.01,0,0,0
-8,-14,8.94251e-05,0,10.134,2.28476e-05,0.05,10.134,10.15,10.134,10.134,0.05,10.134,-117150,-201510,-115140,-201510,0.01,0.01,0.904753,0.000991729,0
-8,-13,0.765279,0,1385.33,0.180212,300.85,550.205,910.05,1059.35,1283.03,524.95,734.717,-118740,-188340,-118740,-186330,23.29,36.81,0.541257,14.3381,0
-8,-12,0.999947,0,1739.05,0.455118,459.45,694.777,978.75,1015.66,1462.75,557.65,899.588,-116520,-173340,-114510,-173340,33.43,43.35,0.635611,22.6979,0
-8,-11,0.669599,0,997.847,0.202986,432.65,650.489,803.85,823.882,919.178,567.95,770.139,-115560,-164580,-113550,-164580,30.69,41.97,0.676705,16.6365,0
-8,-10,0.00123163,0,23.326,0.000328032,0.05,23.326,23.35,23.326,23.326,0.05,23.326,-112530,-146160,-110520,-146160,0.01,0.01,0.887818,0.0131351,0
-8,-9,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-122640,-138000,-120630,-138000,0.01,0.01,0,0,0
-8,-8,0,0,0,0,0.05,0,0.05,0,0,0.05,0,-122640,-122640,-120630,-122640,0.01,0.01,0,0,0
-8,-7,0.0620244,0,260.47,0.0202414,0.05,228.336,209.45,260.47,260.47,122.05,240.55,-111930,-93870,-110520,-92460,0.01,23.51,0.861127,1.22441,0
